Generation (G),Age of Colony (t),No. of alates (A),No. of helpers,No. of not helper,Age to dispersal (tau),No. of eggs (F),No. of dead offsprings,Imprinting level (I),The maximum reproductive capacity (K),Available resource (R),Peak available resource,Surplus resouce,Peak surplus resouce (delta_R),No. of alates in previous generation,Fitness of colony (W),0-year-old,1-year-old,2-year-old,3-year-old,4-year-old,5-year-old,6-year-old,7-year-old,8-year-old,9-year-old,10-year-old,11-year-old,12-year-old
13,11,32,96,32,4,32,0,3.0,32,2360,2360,2040,2040,117,119,32,32,32,32,32,0,0,0,0,0,0,,,
13,12,32,96,32,4,32,0,3.0,32,2360,2360,2040,2040,148,151,32,32,32,32,32,0,0,0,0,0,0,0,,
13,13,32,96,32,4,32,0,3.0,32,2360,2360,2040,2040,179,183,32,32,32,32,32,0,0,0,0,0,0,0,0,
14,1,0,0,0,5,10,0,5.0,33,200,200,100,100,0,0,10,,,,,,,,,,,,,
14,2,0,0,10,4,10,0,3.0,33,200,200,100,100,0,0,10,10,,,,,,,,,,,,
14,3,0,10,10,4,11,0,3.0,33,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
14,4,0,20,11,4,26,0,3.0,33,537,537,277,277,0,0,26,11,10,10,,,,,,,,,,
14,5,0,31,26,4,33,0,3.0,33,878,878,548,548,0,0,33,26,11,10,10,,,,,,,,,
14,6,0,57,33,4,33,0,3.0,33,1564,1564,1234,1234,0,0,33,33,26,11,10,10,,,,,,,,
14,7,20,70,33,4,33,0,3.0,33,1474,1564,1144,1234,18,18,33,33,33,26,11,0,0,,,,,,,
14,8,11,92,33,4,33,0,3.0,33,2190,2190,1860,1860,29,29,33,33,33,33,26,0,0,0,,,,,,
14,9,26,99,33,4,33,0,3.0,33,2426,2426,2096,2096,55,55,33,33,33,33,33,0,0,0,0,,,,,
14,10,33,99,33,4,33,0,3.0,33,2426,2426,2096,2096,87,88,33,33,33,33,33,0,0,0,0,0,,,,
14,11,33,99,33,4,33,0,3.0,33,2426,2426,2096,2096,119,121,33,33,33,33,33,0,0,0,0,0,0,,,
14,12,33,99,33,4,33,0,3.0,33,2426,2426,2096,2096,151,154,33,33,33,33,33,0,0,0,0,0,0,0,,
14,13,33,99,33,4,33,0,3.0,33,2426,2426,2096,2096,183,187,33,33,33,33,33,0,0,0,0,0,0,0,0,
15,1,0,0,0,5,10,0,5.0,34,200,200,100,100,0,0,10,,,,,,,,,,,,,
15,2,0,0,10,4,10,0,3.0,34,200,200,100,100,0,0,10,10,,,,,,,,,,,,
15,3,0,10,10,4,11,0,3.0,34,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
15,4,0,20,11,4,26,0,3.0,34,537,537,277,277,0,0,26,11,10,10,,,,,,,,,,
15,5,0,31,26,4,34,0,3.0,34,878,878,538,538,0,0,34,26,11,10,10,,,,,,,,,
15,6,0,57,34,4,34,0,3.0,34,1564,1564,1224,1224,0,0,34,34,26,11,10,10,,,,,,,,
15,7,20,71,34,4,34,0,3.0,34,1478,1564,1138,1224,18,18,34,34,34,26,11,0,0,,,,,,,
15,8,11,94,34,4,34,0,3.0,34,2224,2224,1884,1884,29,29,34,34,34,34,26,0,0,0,,,,,,
15,9,26,102,34,4,34,0,3.0,34,2494,2494,2154,2154,55,55,34,34,34,34,34,0,0,0,0,,,,,
15,10,34,102,34,4,34,0,3.0,34,2494,2494,2154,2154,88,89,34,34,34,34,34,0,0,0,0,0,,,,
15,11,34,102,34,4,34,0,3.0,34,2494,2494,2154,2154,121,123,34,34,34,34,34,0,0,0,0,0,0,,,
15,12,34,102,34,4,34,0,3.0,34,2494,2494,2154,2154,154,157,34,34,34,34,34,0,0,0,0,0,0,0,,
15,13,34,102,34,4,34,0,3.0,34,2494,2494,2154,2154,187,191,34,34,34,34,34,0,0,0,0,0,0,0,0,
